Link,Tipo,Valor,Publico,Nome
https://www.kabum.com.br/produto/84108/hd-seagate-1tb-barracuda-3-5-sata-st1000dm010,HD,240,2000,"HD Seagate Barracuda 1TB, Sata III, 7200RPM, 64MB, ST1000DM010"
https://www.amazon.com.br/Interno-Seagate-Desktop-BarraCuda-interno/dp/B0767D1BZY,HD,259,2000,"HD Seagate Barracuda 1TB, Sata III, 7200RPM, 64MB, ST1000DM010"
https://www.zoom.com.br/hd/hd-seagate-barracuda-1tb-3-5-sata-st1000dm010,HD,240,2000,"HD Seagate Barracuda 1TB, Sata III, 7200RPM, 64MB, ST1000DM010"
https://www.terabyteshop.com.br/produto/13263/gabinete-powerx-6503bk-mini-tower-black-matx-com-fonte-com-fan,Gabinete,150,2000,"Gabinete PowerX 6503BK, Mini Tower, Black, mATX, Com Fonte, Com Fan"
https://www.kabum.com.br/produto/357292/gabinete-gamer-gamemax-powerx-6503bk-blue-mid-tower-fonte-230w-led-azul-micro-atx-mini-itx-c-fan-80mm-preto,Gabinete,185,2000,"Gabinete PowerX 6503BK, Mini Tower, Black, mATX, Com Fonte, Com Fan"
https://www.hardstore.com.br/shop/products/gabinete-power-x-6503bk-mid-tower-preto-led-azul-com-fonte-230w,Gabinete,229,2000,"Gabinete PowerX 6503BK, Mini Tower, Black, mATX, Com Fonte, Com Fan"

https://www.terabyteshop.com.br/produto/17256/processador-intel-core-i5-11600k-39ghz-50ghz-turbo-11-geracao-6-cores-12-threads-lga-1200-bx8070811600k,Processador,1600,5000,"Processador Intel Core i5 11600K 3.9GHz (5.0GHz Turbo), 11ª Geração, 6-Cores 12-Threads, LGA 1200, BX8070811600K"
https://www.kabum.com.br/produto/148903/processador-intel-core-i5-11600k-11-geracao-3-9-ghz-4-9ghz-turbo-cache-12mb-6-nucleos-12-threads-lga-1200-video-integrado-bx8070811600k,Processador,"1.560,00",5000,"Processador Intel Core i5 11600K 3.9GHz (5.0GHz Turbo), 11ª Geração, 6-Cores 12-Threads, LGA 1200, BX8070811600K"
https://www.inpower.com.br/processador-intel-core-i5-11600k-12mb-3-9ghz-4-9ghz-lga-1200-bx8070811600k-p994553,Processador,"2.330,00",5000,"Processador Intel Core i5 11600K 3.9GHz (5.0GHz Turbo), 11ª Geração, 6-Cores 12-Threads, LGA 1200, BX8070811600K"
https://www.terabyteshop.com.br/produto/18208/placa-mae-gigabyte-h510m-h-chipset-h510-intel-lga-1200-matx-ddr4,Placa Mãe,560,5000,"Placa Mãe Gigabyte H510M H, Chipset H510, Intel LGA 1200, mATX, DDR4"
https://www.netalfa.com.br/placa-mae-gigabyte-h510m-h-rev-1-0-intel-10a-e-11a-geracao-lga1200-atx-ddr4-h510m-h,Placa Mãe,729,5000,"Placa Mãe Gigabyte H510M H, Chipset H510, Intel LGA 1200, mATX, DDR4"
https://shopee.com.br/Placa-M%C3%A3e-Gigabyte-H510M-H-Chipset-H510-Intel-LGA-1200-mATX-DDR4-i.419489795.20935143807,Placa Mãe,725,5000,"Placa Mãe Gigabyte H510M H, Chipset H510, Intel LGA 1200, mATX, DDR4"
https://www.terabyteshop.com.br/produto/14614/cooler-para-processador-gamemax-gamma-200-125mm-intel-amd,Cooler,80,5000,"Cooler para Processador Gamemax Gamma 200, Rainbow, 125mm, Intel-AMD"
https://www.kabum.com.br/produto/202904/cooler-para-processador-deepcool-gammaxx-200t-intel-e-amd-dp-mch2-gmx200t,Cooler,114,5000,"Cooler para Processador Gamemax Gamma 200, Rainbow, 125mm, Intel-AMD"
https://www.pichau.com.br/cooler-deepcool-gammaxx-200-dp-mch2-gmx200-box,Cooler,65,5000,"Cooler para Processador Gamemax Gamma 200, Rainbow, 125mm, Intel-AMD"
https://www.terabyteshop.com.br/produto/18653/memoria-ddr4-zadak-twist-black-16gb-3000mhz-2x8gb-zd4-tws30c08-16gyb2,Memória,390,5000,"
Memória DDR4 Zadak Twist, Black, 16GB, 3000MHz (2x8GB), ZD4-TWS30C08-16GYB2"
https://produto.mercadolivre.com.br/MLB-2067912469-memoria-ddr4-zadak-twist-black-16gb-2x8gb-3000mhz-_JM,Memória,650,5000,"
Memória DDR4 Zadak Twist, Black, 16GB, 3000MHz (2x8GB), ZD4-TWS30C08-16GYB2"
https://www.terabyteshop.com.br/produto/20058/memoria-ddr4-xpg-gammix-d10-16gb-2x8gb-3200mhz-black,Memória,398,5000,"Memória DDR4 XPG Gammix D10, 16GB (2x8GB) 3200Mhz, Black"
https://www.terabyteshop.com.br/produto/12463/placa-de-video-msi-geforce-gtx-1660-super-gaming-x-6gb-gddr6-192bit,Placa de video,1600,5000,"Placa de Vídeo MSI NVIDIA GeForce GTX 1660 Super Gaming X, 6GB GDDR6, 192Bit"
https://homolog.terabyteshop.com.br/produto/12463/placa-de-video-msi-geforce-gtx-1660-super-gaming-x-6gb-gddr6-192bit,Placa de video,"1.819,00",5000,"Placa de Vídeo MSI NVIDIA GeForce GTX 1660 Super Gaming X, 6GB GDDR6, 192Bit"
https://www.guerradigital.com.br/produtos/msi-nvidia-geforce-gtx-1660-super-gaming-x-6gb-gddr6-192bit-912-v375-446/,Placa de video,"1.461,14",5000,"Placa de Vídeo MSI NVIDIA GeForce GTX 1660 Super Gaming X, 6GB GDDR6, 192Bit"
https://www.terabyteshop.com.br/produto/18727/ssd-adata-spectrix-s20g-rgb-500gb-m2-2280-nvme-leitura-2500mbs-e-gravacao-1800mbs-aspectrixs20g-500g-c,SSD,"349,99",5000,"SSD XPG Spectrix S20G RGB, 500GB, M.2 2280 NVMe, Leitura 2500MBs e Gravação 1800MBs, ASPECTRIXS20G-500G-C"
https://www.kabum.com.br/produto/153809/ssd-500-gb-xpg-spectrix-s20g-m-2-2280-pcie-gen3x4-leitura-2500-mb-s-e-gravacao-1800-mb-s-3d-nand-aspectrixs20g-500g-c,SSD,"449,99",5000,"SSD XPG Spectrix S20G RGB, 500GB, M.2 2280 NVMe, Leitura 2500MBs e Gravação 1800MBs, ASPECTRIXS20G-500G-C"
https://www.pichau.com.br/ssd-adata-xpg-spectrix-s20g-500gb-m-2-2280-nvme-1-3-rgb-aspectrixs20g-500g-c,SSD,"499,9",5000,"SSD XPG Spectrix S20G RGB, 500GB, M.2 2280 NVMe, Leitura 2500MBs e Gravação 1800MBs, ASPECTRIXS20G-500G-C"
https://www.terabyteshop.com.br/produto/22749/fonte-xpg-probe-500w-80-plus-bronze-pcf-ativo-xpg500b-bkcbr,Fonte,269,5000,"Fonte XPG Probe 500W, 80 Plus Bronze, PCF Ativo, PROBE500B-BKCBR"
https://www.pageupgamer.com/products/fonte-xpg-probe-500w-80-plus-bronze-pcf-ativo-probe500b-bkcbr,Fonte,349,5000,"Fonte XPG Probe 500W, 80 Plus Bronze, PCF Ativo, PROBE500B-BKCBR"
https://www.terabyteshop.com.br/produto/13094/fonte-redragon-rgps-500w-80-plus-bronze-pfc-ativo-gc-ps001,Fonte,269,5000,"Fonte Redragon RGPS 500W, 80 Plus Bronze, PFC Ativo, GC-PS001"
https://chipsetinfo.com.br/site/produtos/373-ssd-kingston-a400-240gb-m2-leitura-500mbs-grav.html,Gabinete,"220,5",5000,"Gabinete Gamer Marvo CA-119 BK, RGB, Mid Tower, Vidro Temperado, Black, Sem Fonte, Sem Fan"
https://www.terabyteshop.com.br/produto/22670/gabinete-gamer-marvo-ca-119-bk-rgb-mid-tower-vidro-temperado-black-sem-fonte-sem-fann,Gabinete,"239,9",5000,"Gabinete Gamer Marvo CA-119 BK, RGB, Mid Tower, Vidro Temperado, Black, Sem Fonte, Sem Fan"
https://www.pelando.com.br/d/5c70facb-2241-4283-bcab-9b3e6aa8a03b/gabinete-gamer-marvo-ca-119-bk-rgb-mid-tower-vidro-temperado-black-sem-fonte-sem-fan?expired_deal=true,Gabinete,169,5000,"Gabinete Gamer Marvo CA-119 BK, RGB, Mid Tower, Vidro Temperado, Black, Sem Fonte, Sem Fan"
